label,text
comprar-linha,solicitação de uma linha
reparar-linha,a a minha linha está cortada
reparar-linha,solicitar reparo na minha linha telefônica
reparar-linha,telefone tá chiado
reparar-linha,quero saber o motivo da minha linha ter sido cortada
reparar-linha,é meu telefone não tô conseguindo fazer ligação
reparar-linha,linha linha com defeito
reparar-linha,é telefone não está dando linha
comprar-linha,eu gostaria de uma linha telefônica
reparar-linha,é eu gostaria do é conversar com uma pessoa reparo da minha linha
reparar-linha,o link não tá dando sinal
reparar-linha,pra reparo da linha telefônica que tá com problema
comprar-linha,quero fazer um novo pedido de linha
mudar-endereco,quero transferir a linha telefônica para outro endereço
pagar-conta,eu paguei eu já paguei essa conta aqui mandaram pra o talvez eu perdo até a linha porque motivo que eu já paguei o mês oito cobrança
cancelar-servicos,como faço pra cancelar o despertador automático
reparar-linha,eu preciso de um técnico pra vim tá dando uma olhada nessa na linha telefônica
reparar-linha,estou tendo dificuldade de fazer ligação no meu telefone
reparar-linha,reparo em minha linha
reparar-linha,meu telefone quebrou
reparar-linha,é saber se o aparelho está desligado
reparar-linha,meu telefone não consegue fazer ligação só recebe chamada
comprar-linha,quero comprar uma linha nova
reparar-linha,a linha não não não consigo fazer ligação
pagar-conta,aviso de quitamento de débitos
pagar-conta,quero pagar conta
pagar-conta,quero saber como que eu faço pra pagar ta pagando uma conta
reparar-linha,arrumar um telefone que tá com problema
reparar-linha,reparo é minha linha telefônica
reparar-linha,é que o meu telefone tá sem linha nunhuma eu gostaria de solicitar uma uma
pagar-conta,eu preciso pagar a minha conta eu quero saber onde é que posso pagar pra ter o telefone religado mais rápido possível
cancelar-servicos,eu queria cancelar o atendimento simultâneo do telefone fixo
reparar-linha,meu telefone tá chiando
reparar-linha,a três dias eu não consigo fazer chamada nem pra fixo nem pra celular
reparar-linha,reparo da linha telefônica já estava falando e caiu a linha
reparar-linha,é é problema em linha telefônica
reparar-linha,é que eu mudei minha linha eu quero saber o porque que não tá fazendo ligação
reparar-linha,eu estou sem a minha linha o meu telefone não não tem linha
reparar-linha,meu telefone não esta fazendo chamadas
pagar-conta,é porque eu fa eu liguei ontem pra moça eu tô com uma conta em atraso e a moça falou que eu não devo a conta então eu quero tirar uma dúvida porque pra eu devo ela falou que eu não devo
reparar-linha,conserto da campainha do telefone
comprar-linha,como faço para obter uma linha
reparar-linha,eu quero falar sobre o reparo da minha linha não tá fazendo ligação
reparar-linha,reparo da minha linha telefônica
comprar-linha,como faço para pedir uma linha
reparar-linha,meu telefone está sem serviço
reparar-linha,telefone não está fazendo ligações
mudar-endereco,eu quero transferir de um bairro pra outro
comprar-linha,como faço pra solicitar uma linha controle
reparar-linha,a minha linha telefônica não está funcionando
mudar-endereco,mudança do mudança de endereço
reparar-linha,como faço pra saber de problemas na minha quando estou falar no telefone a linha cai
reparar-linha,quero é ligar a linha religar
reparar-linha,telefone da minha casa está com defeito
reparar-linha,eu quero saber quando que vou ter o telefone disponível para fazer ligação
cancelar-servicos,cancelar um serviço
comprar-linha,aquisição de linha telefônica fora do estado
reparar-linha,meu telefone não esta fazendo ligação para fora
reparar-linha,porque não ligou o telefone
comprar-linha,como faço pra ter uma conta uma linha telefônica
reparar-linha,gostaria de solicitar conserto no meu telefone
comprar-linha,quero saber como adquirir uma linha telefônica
reparar-linha,o rapaz o meu telefone está bloqueado e e tá pago
cancelar-servicos,cancelamento da caixa postal
reparar-linha,defeito no telefone o telefone parou
reparar-linha,eu desejo um reparo no meu telefone
reparar-linha,reparo de linha residência
mudar-endereco,alterar endereço da linha
reparar-linha,quero saber porque meu telefone está bloqueado
cancelar-servicos,quero fazer bloqueio de serviços
reparar-linha,informar sobre telefone com problemas
cancelar-conta,cancelamento da minha conta telefônica
reparar-linha,número de telefone está trocado
reparar-linha,estâo meu telefone está desligado
reparar-linha,quero saber sobre como faço para estarem consertando a linha telefônica da minha casa
comprar-linha,de uma nova linha
reparar-linha,quero saber porque a minha linha tem chiado
reparar-linha,eu quero saber porque eu não consigo ligar completar ligação
reparar-linha,verificar linha com defeito
reparar-linha,chiado no telefone
pagar-conta,quero pagar minhas contas
comprar-linha,como posso pedir uma linha telefônica
reparar-linha,ver porque o telefone parou
comprar-linha,como faço para conseguir uma linha
comprar-linha,pedir linha
reparar-linha,reparo da linha do telefone
reparar-linha,minha linha não está ligando
reparar-linha,preciso da manutenção em uma linha
reparar-linha,reparo dada linha
cancelar-servicos,como faço para cancelar minha secretária
reparar-linha,não consegui fazer ligação
reparar-linha,quero saber porque meu telefone tá tá bloqueado pra ligação
comprar-linha,como faço para solicitar outra conta telefônica outra linha telefônica
reparar-linha,veriquação na linha
reparar-linha,e o aparelhinho não tá funcionando
reparar-linha,reparos da linha telefônica
reparar-linha,é reparo no telefone
reparar-linha,desligaram meu telefone
reparar-linha,está sem sinal o que eu faço
pagar-conta,ver se as contas estão sendo pagas em dia
reparar-linha,eu tô sem eu tô sem linha telefônica
cancelar-servicos,como faço para cancelar despertador
reparar-linha,o meu telefone está sem linha tá parado
reparar-linha,pra facilitar é alias para reparos de telefone
comprar-linha,como eu faço para eu pedir uma instalação do telefone
cancelar-servicos,cancelamento de bloqueador
mudar-endereco,mudança de endereço da linha telefônica
reparar-linha,meu telefone fixo não faz ligação
pagar-conta,como posso pagar a minha conta é isso que eu quero saber
comprar-linha,comprar uma linha fixa
reparar-linha,como como faço pra solicitar é reparo na linha telefônica
reparar-linha,desejo ter arrume a minha linha problema na linha
reparar-linha,manutenção de meu fixo
reparar-linha,quero saber porque que meu telefone só tá dando ocupado
reparar-linha,reparo reparo do telefone
comprar-linha,como faço para ter um produto na minha residência
reparar-linha,telefone está quebrado
reparar-linha,problema na parte externa do telefone fixo produto
reparar-linha,defeito na linha não toca o telefone
comprar-linha,eu quero contratar uma linha de de telefônica residencial
reparar-linha,meu telefone não tá atendendo chamada
reparar-linha,telefone foi instalado ontem e eu coloquei e eu liguei ele e esta dando ocupado não esta dando
reparar-linha,como resolver um problema na linha telefônica
pagar-conta,eu recebi uma gravação dizendo que eu tenho um débito na conta de telefone produto pra pagar em vinte quatro horas eu quero saber o que que é porque eu desconheço isso
comprar-linha,o meu deus eu quero linha pra minha residência
reparar-linha,conserto na minha linha telefônica
reparar-linha,naaaaaaaaaaaaaaão consigo fazer ligação
cancelar-servicos,eu desejo cancelar a secretária light
reparar-linha,conserto para a linha três sete oito três um zero sete
comprar-linha,eu desejo pedir uma linha telefônica
reparar-linha,manutenção de manutenção da minha linha
reparar-linha,tá paga meu telefone tá cortado
reparar-linha,porque meu telefone tá bloqueado
reparar-linha,porque está bloqueado este telefone
comprar-linha,eu quero comprar uma linha telefônica residencial
comprar-linha,sobre comprar linha
reparar-linha,é problema na problema no telefone
reparar-linha,meu telefone não tá fazendo chamada
reparar-linha,reparo na linha telefônica residencial
comprar-linha,adquirir o produto fixo
reparar-linha,eu preciso que deu um reparo no na linha telefônica vinte e nove cinco sete cinquenta e um cinquenta que ela esta parada desde ontem
comprar-linha,como eu faço para ter uma linha limitada
reparar-linha,não consigo realizar chamadas para
reparar-linha,eu quero saber porque que meu telefone quem liga pra ele cai em outro número
reparar-linha,telefone quebrado
reparar-linha,reparo a minha linha telefônica
comprar-linha,comprar um produto fixo
reparar-linha,bloqueado para ligação
reparar-linha,é o telefone está com problema
reparar-linha,eu desejo quem vem um funcionário aqui verificar a minha linha telefônica dentro de casa não é fora
reparar-linha,reparo da minha linha da minha linha telefônica
reparar-linha,saber porque não consigo fazer ligação na linha da economia
reparar-linha,reparo na linha telefônica fixa
reparar-linha,averiguação da linha
reparar-linha,não estou precisando a data de reparo na minha linha
comprar-linha,eu quero solicitar nova linha telefônica
reparar-linha,e o serviço o telefone aqui está com problema não consigo fazer ligação
pagar-conta,eu desejo eu posso pagar esta conta que chegou na minha casa no nome da minha esposa
comprar-linha,quero comprar uma linha telefônica para minha residência
comprar-linha,fazer instalação de uma nova linha
mudar-endereco,é é uma mudança de endereço
reparar-linha,estou com problema na linha
comprar-linha,comprar uma linha de telefone
reparar-linha,se a linha telefônica está funcionando ela está se tá com defeito
reparar-linha,o nosso telefone não está recebendo chamadas ele só dá sinal de ocupado
reparar-linha,quero que venham consertar linha telefônica
reparar-linha,linha do telefone não está funcionando
reparar-linha,o telefone não está funcionando
reparar-linha,manutenção dada rede telefone fixo
comprar-linha,eu quero solicitar uma linha telefônica
reparar-linha,pedido de conserto da linha telefônica
reparar-linha,reparo dado telefone
reparar-linha,assistência técnica produto
reparar-linha,não ligou o meu telefone
reparar-linha,quero falar sobre a minha linha de telefone que tá com problema não tá recebendo nem fazendo
comprar-linha,aquisição de linha telefônica fixo
comprar-linha,como faço para ter uma linha de telefone
reparar-linha,o meu telefone tá com defeito
reparar-linha,falta de linha
comprar-linha,quero pedir uma linha de telefone pra minha residência
reparar-linha,defeito não consigo ligar fazer ligação do meu telefone
reparar-linha,ai o meu telefone tá sem linha
reparar-linha,eu quero saber de reparos do meu telefone
reparar-linha,quebrado aparelho
reparar-linha,reparo na linha tá chiando muito
reparar-linha,é o seguinte o meu telefone está tudo pago e ele ele mantém cortado no momento e está tudo pago
reparar-linha,falar sobre o defeito no telefone
reparar-linha,a linha a linha do meu telefone está com muito a linha cruzada
reparar-linha,preciso de um reparo na linha fixa
reparar-linha,eu preciso saber sobre o reparo de uma linha telefônica que eu pedi
reparar-linha,falta do sinal no telefone
reparar-linha,telefone não efetua ligações
comprar-linha,eu gostaria de uma linha econômica
reparar-linha,a portaria o telefone da portaria do bangu três no rio
reparar-linha,opção de reparo na linha telefônica
reparar-linha,reparo numa linha comercial zero onze vinte trinta e dois cinco quatro dezoito
reparar-linha,estou ligando para dizer que meu telefone deu problema
reparar-linha,é o meu telefone e que está com defeito
comprar-linha,eu quero uma linha controle dois sete zero
reparar-linha,reparo na no produto fixo
reparar-linha,não tá meu telefone não tá fazendo ligação só tá recebendo
pagar-conta,quero saber se minha conta está paga
reparar-linha,estou sem linha
reparar-linha,é o telefone não funciona reparo na linha
reparar-linha,eu quero ver porque que eu não consigo ligar e vocês tão cobrando
reparar-linha,é é que meu telefone não tá fazendo ligação e nem recebendo
comprar-linha,quero pôr uma linha econômica
comprar-linha,queria um linha telefônica
reparar-linha,solicitei um técnico e gostaria de saber se ele vem hoje
reparar-linha,é reparo no telefone que está com muito barulho
reparar-linha,reparo da linha produto
reparar-linha,queria saber porque meu telefone está desligado
reparar-linha,o motivo é é quero saber se o número de telefone dois nove cinco zero dois sete zero três se esse número tá com defeito eu não consigo falar com esse número
mudar-endereco,mudança de de endereço
reparar-linha,a minha linha de telefone não está funcionando
reparar-linha,vocês desligaram o meu telefone
reparar-linha,pedir conserto de uma linha telefônica
cancelar-servicos,quero tirar o despertador do telefone
reparar-linha,a linha não funciona
cancelar-conta,cancelar a minha conta da telefônica
reparar-linha,preciso de reparo na minha linha
reparar-linha,eu estou falando no telefone
reparar-linha,meu telefone está desligado quero saber
reparar-linha,reparo reparo na linha
comprar-linha,como que eu faço pra adquirir uma linha
reparar-linha,é linha linha cruzada
reparar-linha,telefone meu que foi cortado na época
reparar-linha,problema no telefone reclamações
reparar-linha,eu tô ligando porque cruzo a minha linha telefônica aqui eu queria saber como é que vai fazer pra consertar
reparar-linha,quero falar sobre reparos na minha linha telefônica
reparar-linha,referente a linha problema na linha
reparar-linha,quero saber porque o meu telefone tá bloqueado
reparar-linha,é o meu telefone não está fazendo chamada só tá recebendo e foi instalado esses dias
mudar-endereco,é mudança de endereço internet
cancelar-servicos,cancelamento do atendimento simultâneo
reparar-linha,defeito linha fixa
reparar-linha,o que eu desejo é reparo na linha telefônica
reparar-linha,reparo do telefone o meu número é tá o número da minha casa tá com outro número
reparar-linha,eu preciso que vocês venham arrumar meu telefone a linha do telefone
reparar-linha,linha telefônica não funciona
reparar-linha,o meu telefone esta fazendo ligação
mudar-endereco,eu quero saber porque não transferiu o meu telefone pra outro outro endereço novo
pagar-conta,tão cobrando o valor de uma conta que foi paga
mudar-endereco,transferência de telefone de endereço
pagar-conta,quero pagar
reparar-linha,é que meu telefone não tá fazendo ligação
mudar-endereco,quero saber do endereço do meu número
mudar-endereco,transferência de linha telefônica para novo endereço
mudar-endereco,quero mudar endereço
reparar-linha,reparo na linha telefônica
reparar-linha,quero eu quero que seja verificada o problema na minha na linha telefônica deste número porque por causa tem um barulho insuportável chiado quase impossível de ouvir a ligação
reparar-linha,olha minha filha mora número apartamento numa casa lá na butantã cujo número já dei é o três sete três um quatro um sete três desde sábado a gente o telefone tá mudo desde sábado já fiz reclamação na telefônica e até hoje não tive resposta e o telefone continua mudo
comprar-linha,quero alugar uma linha
reparar-linha,defeito na linha do telefone fixo
reparar-linha,a linha está com defeito
reparar-linha,o telefone não tá funcionando
comprar-linha,comprar nova linha telefônica
reparar-linha,reparo reparo telefone
reparar-linha,a linha não tá funcionando
reparar-linha,não eu como faço para arrumar o meu telefone porque desde quando chove tá com uma chiadeira só chia chia e não consigo falar nada e eu pago o técnico e ninguém aparece por aqui
cancelar-servicos,cancelar despertador eletrônico
reparar-linha,como faço para resolver linha cruzada
comprar-linha,imitir uma linha produto fixo
pagar-conta,quero saber se a conta foi paga
comprar-linha,desejo uma linha econômica
comprar-linha,solicitar uma linha econômica
reparar-linha,meu telefônico não está funcionando
reparar-linha,saber porque meu telefone esta desligado queria que religasse
comprar-linha,como que eu faço pra pedir uma linha de telefone
reparar-linha,reclamar sobre valor de chiado na linha telefônica
reparar-linha,reparo na minha linha que não está funcionando
reparar-linha,meu telefone está estragado tá ruím
reparar-linha,o meu telefone não tá não tá dando linha
cancelar-servicos,cancelamento de serviço despertador
reparar-linha,quero que arruma o meu telefone fixo
reparar-linha,quero consertar o telefone que tá com defeito
pagar-conta,conta foi pagado uma conta e o telefone não tá liberado
mudar-endereco,troca troca de endereço
mudar-endereco,como faço alteração de endereço
reparar-linha,o reparo da linha de telefone que aqui tá cruzada
cancelar-conta,eu quero mandar cancelar uma conta aqui
comprar-linha,comprar produto fixo
reparar-linha,quero saber porque desligaram o meu telefone
mudar-endereco,transferência de endereço da linha
comprar-linha,quero saber como adquirir uma linha econômica
reparar-linha,eu pedí o telefone não tá funcionando
reparar-linha,assistência técnica do telefone assiste
reparar-linha,é porque o meu telefone tá com linha cruzada e eu gostaria de falar com a telefônica
reparar-linha,preciso de ajuda estão furtando minha linha de dentro da cadeia
reparar-linha,quero saber porque meu telefone tá bloqueado para ligação
reparar-linha,telefone não tá funcionando
comprar-linha,quero solicitar o plano produto fixo
reparar-linha,tá tendo defeito na minha linha do
cancelar-conta,quero quero cancelar a minha conta
cancelar-conta,cancelar cancelamento de conta
reparar-linha,solicitar é reparos na linha telefônica
reparar-linha,reparo na linha que está sem
vago-visitaTecnica,reagendar a solicitação de assistência técnica internet
reparar-linha,desejo é arrumar a linha
reparar-linha,quero saber como fazer chamadas do meu telefone
reparar-linha,quero informações sobre o telefone que não é atendido e fica uma linha presa
comprar-linha,como faço para adquirir uma linha
reparar-linha,o motivo da minha chamada é que eu tô sem linha telefônica na minha casa
pagar-conta,sobre meu internet tá sem pagar
reparar-linha,o meu telefone não está tocando na minha residência
comprar-linha,comprar linha telefônica
comprar-linha,como faço para obter uma nova linha
reparar-linha,preciso de um reparo na linha
mudar-endereco,transferência de endereço do desse número
mudar-endereco,transferência de linha endereço
comprar-linha,eu preciso ligação de outra linha
pagar-conta,pagar a conta
pagar-conta,pagar contas
reparar-linha,a minha linha telefônica não funciona
cancelar-servicos,cancelar outros serviços
reparar-linha,porque eu não tô conseguindo ligar
mudar-endereco,como faço para mudar o endereço do meu telefone
reparar-linha,eu não tô conseguindo fazer ligação gostaria de saber se tem algum problema na linha
reparar-linha,eu gostaria de saber porque o meu telefone foi invertido com o do vizinho da frente aqui é um prédio e veio um técnico hoje fazer algum tipo de serviço no prédio e acabou trocando os os cabeamentos
reparar-linha,alô tá o telefone tá cortado
reparar-linha,quero saber que estou sem telefone
comprar-linha,adquirir um telefone
cancelar-servicos,quero cancelar outros serviços
reparar-linha,estou estou sem telefone reparo no telefone
reparar-linha,saber porque meu telefone não faz ligações
reparar-linha,quero fazer reparo na minha linha
pagar-conta,é que eu tenho a conta de telefone paga e eles tão ligando cobrando
reparar-linha,defeito nesse telefone
comprar-linha,quero uma outra linha um outro plano de linha mais econômica
cancelar-servicos,cancelar serviço da telefônica
pagar-conta,pagamento de é pagamento de conta falar sobre pagamento de conta
reparar-linha,meu motivo chamada eu não tenho estou sem linha não recebo ligação e nem consigo ligar e as contas tá tudo paga
reparar-linha,manutenção na linha telefônica em outro número
mudar-endereco,mudança de endereço prá correspondência
reparar-linha,eu desejo que você venha olhar minha conta telefônica que meu telefone tá em dia e não tá funcionando
reparar-linha,estou com telefone com defeito preciso de conserto
reparar-linha,o telefone tá que não faz ligação só recebe não tá fazendo ligação
reparar-linha,pedir reparo em linha telefônica
reparar-linha,eu gostaria de saber solicitar o serviço de telefônica arrumar a linha
reparar-linha,eu quero saber porque que meu meu aparelho não tá funcionando
mudar-endereco,transferência da linha telefônica pra outra local
reparar-linha,meu telefone não faz chamadas
reparar-linha,quero que arrume meu telefone
reparar-linha,eu desejo que o técnico vem até minha casa
reparar-linha,reparo da antena do telefone
reparar-linha,a linha tá sem pulso eu não tô conseguindo fazer contato pra ninguém eu preciso saber porque
mudar-endereco,transferir a linha eu quero transferir a linha pra outra residência
reparar-linha,telefone meu telefone não tá tá com problema na rua precisa alguém vir arrumar
reparar-linha,quero saber porque razão que tem outra linha entrando no meu telefone eu vou ligar e tem outra pessoa conversando na mesma linha do meu telefone não consigo falar porque começa entrar muita chiadeira
pagar-conta,eu gostaria de marcar uma data pra mim pagar a conta do meu telefone
cancelar-servicos,eu quero cancelar um serviço
reparar-linha,meu telefone que é não está completando chamadas
cancelar-servicos,quero cancelar o crédito de interurbano
comprar-linha,referente a uma nova linha telefônica
reparar-linha,aqui eu estou sem telefone
pagar-conta,eu preciso saber se pagar as duas contas se vocês religam o telefone
reparar-linha,pedir uma linha paguei e eles não vieram
cancelar-conta,cancelei esse telefone estou recebendo conta por que
reparar-linha,reparar a linha fixa
pagar-conta,gostaria de saber se a conta do mês de agosto ja foi paga
reparar-linha,é reparo numa outra linha
mudar-endereco,eu quero alterar o meu endereço
reparar-linha,defeito na instalação do telefone
reparar-linha,porque que meu telefone está desligado
reparar-linha,linha barulho internet não funciona
reparar-linha,quero saber porque meu minha linha tá cortada
reparar-linha,o defeito no telefone
pagar-conta,por causa que eu paguei a conta e não ligou o telefone
reparar-linha,se você quiser abrir também prá que eles possam fazer
reparar-linha,eu não eu estou sem linha no meu telefone
reparar-linha,quero falar sobre o problema na linha
reparar-linha,linha está falhando
reparar-linha,estou com meu telefone dois dois nove cinco dois cinco dois cinco com linha cruzada como faço para resolver problema
comprar-linha,quero ter um da economia
cancelar-servicos,e cancelamento de serviços
reparar-linha,eu quero saber como que eu faço pra fazer uma ligação pra fora e que meu telefone não tá dando
reparar-linha,meu telefone tá quebrado
comprar-linha,adquirir telefone fixo
reparar-linha,ai é o reparo da linha
pagar-conta,pagar cai de novo
mudar-endereco,transferência de endereço de linha
comprar-linha,quero ver uma uma nova linha
reparar-linha,olha esse telefone que eu acabei de digitar ele não está funcionando pra ele a gente pode usar ele pra ligar mas só que ele não está tocando dá um toquinho e já desliga
reparar-linha,me atender que eu quero reparo na linha
reparar-linha,estou com problema com meu telefone fixo dentro de casa eu quero alguém que venha fazer um trabalho pra mim
reparar-linha,defeito de linha
reparar-linha,telefone está sem funcionar
reparar-linha,é eu quero um reparo para o número para uma linha de telefone
reparar-linha,quero arrumar o telefone
comprar-linha,quero solicitar uma linha
reparar-linha,eu quero saber como eu quero um técnico para resolver o problema da minha linha que tá chiando
reparar-linha,o meu telefone não chama não faz chamada tá com defeito
comprar-linha,eu queria saber pra mim pedir um linha
mudar-endereco,transferir a minha linha desse endereço pra outro endereço do mesmo bairro
reparar-linha,linha telefônica está desligada só atende de fora de dentro não
mudar-endereco,transferir esta linha de um endereço pro outro endereço
reparar-linha,estou sem linha de telefone na minha residência
reparar-linha,desejo reparo na linha telefônica do telefone três três dois quatro dezessete três três
mudar-endereco,eu solicitei a mudança de endereço mas está com o número trocado
reparar-linha,meu telefone eu telefone tá com muito chiadeira
comprar-linha,como faço prá pedir uma linha telefônica
comprar-linha,quero adquirir uma linha
reparar-linha,solicitar na linha tronco
reparar-linha,que minha linha está sem funcionar desde ontem
mudar-endereco,eu quero solicitar a mudança do meu endereço para que as contas venham no novo endereço
cancelar-servicos,cancelar a assistência do plano de manutenção telefônica
cancelar-servicos,é sobre cancelamento de serviço
cancelar-servicos,gostaria de cancelar o serviço
mudar-endereco,quero transferir um telefone rural cel
comprar-linha,eu quero contratar uma linha de telefone
reparar-linha,eu estou querendo reclamar a falha do meu aparelho três oito oito quatro um oito
reparar-linha,solicitação para conserto de linha telefônica
reparar-linha,o serviço da telefônica é muito ruim
reparar-linha,meu telefone não tá recebendo chamadas
reparar-linha,é o seguinte o meu telefone apresenta um ruído dá até dificuldade pra gente entender que a pessoa tá falando eu solicito alguém que venha fazer a correção aqui do do defeito
reparar-linha,reparo de linha dezessete três dois meia nove sete dois três cinco
reparar-linha,quero conserto de linha
reparar-linha,o meu telefone fixo não está funcionando
reparar-linha,não recebo ligação
reparar-linha,não o que eu quero falar o que eu quero resolver é que o meu problema o meu telefone tá com problema não é detect e nem pouco menos saber da minha conta
comprar-linha,comprar produto linha telefônica
reparar-linha,eu preciso de um serviço de reparo da minha linha
reparar-linha,defeito na linha eu quero reparo na linha
reparar-linha,problemas com a linha
comprar-linha,quero adquirir uma nova linha telefônica
cancelar-servicos,cancelamento de antivirus
reparar-linha,não tem linha
reparar-linha,tá sem linha na minha casa
comprar-linha,quero ver se eu posso pedir outra linha
cancelar-conta,é eu quero cancelar a minha conta meu telefone
reparar-linha,é sobre sobre conserto da linha
mudar-endereco,eu gostaria de transferir meu telefone de um lugar pro outro
cancelar-servicos,é cancelar transferência
reparar-linha,reparo a minha linha não está funcionando
reparar-linha,eu queria parte do meu telefone
reparar-linha,a minha linha tá com defeito não tá fazendo chamada
reparar-linha,eu gostaria de falar com atendente que minha linha foi desligada e a outra linha está sendo usada por outra pessoa
cancelar-conta,cancelar pedido de conta
mudar-endereco,quero transferir o endereço do meu telefone
mudar-endereco,transferência de número transferência de endereço
reparar-linha,meu telefone está bloqueado para fazer ligações
mudar-endereco,mudança de endereço de correspondência
comprar-linha,como faço para obter uma linha da telefônica
reparar-linha,eu queria saber sobre manutenção de linha
reparar-linha,conserto de telefone
cancelar-conta,como faço pra cancelar minha conta
reparar-linha,é eu gostaria de ver porque meu telefone tá com linha cruzada eu não queria saber internet mais eu tento ligar no
reparar-linha,estou com problema na minha linha
cancelar-servicos,como faço para solicitar cancelamentos de serviços
reparar-linha,eu quero que venha consertar a minha linha telefônica
reparar-linha,solicito consertar minha linha reparo da minha linha telefônica
cancelar-servicos,gostaria de cancelar a chamada a cobrar
reparar-linha,minha linha não foi religada
reparar-linha,é que essa linha está com defeito
reparar-linha,estou reclamando de muitas linha cruzada
reparar-linha,queria saber sobre o telefone que não tá funcionando
reparar-linha,eu não consigo faz ligações de fixo pra fixo
reparar-linha,é o meu telefone tá com a linha cortada tá toda paga e tá cortada
pagar-conta,pagar
comprar-linha,como faço pra ter uma linha telefônica
reparar-linha,quero saber se meu telefone foi clonado
reparar-linha,o telefone tá com ruído e tá baixo
reparar-linha,me ajudando porque a minha tô com problema na linha meu telefone está mud
reparar-linha,quero falar no setor reparo de linha
reparar-linha,a minha linha é a minha linha não tá funcionando pra ligação
reparar-linha,a minha linha está com ruídos com problema com defeito
reparar-linha,meu telefone está impossibilitado de receber chamada eu queria saber porque
reparar-linha,reparo de linha quero falar com técnico
reparar-linha,quero falar no setor de linha de reparo de linha
reparar-linha,quero quero reparo na linha telefônica
comprar-linha,eu gostaria de saber como que eu faço pra mim adquirir a linha econômica da telefônica
reparar-linha,alô motivo da minha chamada é que minha linha continua com cho cho é
cancelar-conta,quero cancelar a fatura do mês do internet
reparar-linha,reparo em minha linha telefônica
pagar-conta,como faço para pagar uma conta que está vencida
cancelar-servicos,cancelamento de serviço e solicitar o detecta
comprar-linha,como eu faço pra solicitar uma linha telefônica
cancelar-servicos,quero tá cancelando o seguro de proteção residencial que não foi pedido e chegou na minha na minha conta
reparar-linha,quero solicitar o conserto do telefone
reparar-linha,meu telefone está ruim desde
comprar-linha,quero solicitar uma
reparar-linha,o meu telefone não está recebendo ligação só fazendo
reparar-linha,quero saber sobre defeito do meu telefone
mudar-endereco,quero fazer uma solicitação de mudança de endereço
reparar-linha,preciso de atendimento pois a linha residencial não está fazendo ligação
